Date,Enters,Branch,Branch for data blending,Time,Region
7/8/2026,1,Kings Bay,Kings Bay,7:00PM,Kings Highway
7/8/2026,1,Sheepshead Bay,Sheepshead Bay,7:00PM,Kings Highway
7/8/2026,0,Kings Bay,Kings Bay,8:00PM,Kings Highway
7/8/2026,0,Sheepshead Bay,Sheepshead Bay,8:00PM,Kings Highway
7/8/2026,0,Kings Bay,Kings Bay,9:00PM,Kings Highway
7/8/2026,0,Sheepshead Bay,Sheepshead Bay,9:00PM,Kings Highway
7/8/2026,44,Brower Park,Brower Park,1:00PM,Crown Heights
7/8/2026,39,Crown Heights,Crown Heights,1:00PM,Crown Heights
7/8/2026,1,Central,Central,9:00AM,Central
7/8/2026,83,Central,Central,9:00AM,Central
7/8/2026,13,Central,Central,9:00PM,Central
7/8/2026,15,Central,Central,9:00PM,Central
7/8/2026,111,Cortelyou,Cortelyou,11:00AM,Flatbush
7/8/2026,52,East Flatbush,East Flatbush,11:00AM,Flatbush
7/8/2026,15,Flatbush,Flatbush,11:00AM,Flatbush
7/8/2026,39,Cypress Hills,Cypress Hills,1:00PM,New Lots
7/8/2026,19,Spring Creek,Spring Creek,1:00PM,New Lots
7/8/2026,29,Stone Avenue,Stone Avenue,1:00PM,New Lots
7/8/2026,0,Cypress Hills,Cypress Hills,10:00AM,New Lots
7/8/2026,22,Saratoga,Saratoga,10:00AM,New Lots
7/8/2026,2,Spring Creek,Spring Creek,10:00AM,New Lots
7/8/2026,7,Stone Avenue,Stone Avenue,10:00AM,New Lots
7/8/2026,0,Arlington,Arlington,10:00PM,New Lots
7/8/2026,0,Spring Creek,Spring Creek,10:00PM,New Lots
7/8/2026,0,Stone Avenue,Stone Avenue,10:00PM,New Lots
7/8/2026,83,Cypress Hills,Cypress Hills,11:00AM,New Lots
7/8/2026,22,Spring Creek,Spring Creek,11:00AM,New Lots
7/8/2026,57,Stone Avenue,Stone Avenue,11:00AM,New Lots
7/8/2026,15,Spring Creek,Spring Creek,12:00PM,New Lots
7/8/2026,34,Stone Avenue,Stone Avenue,12:00PM,New Lots
7/8/2026,17,Spring Creek,Spring Creek,2:00PM,New Lots
7/8/2026,23,Stone Avenue,Stone Avenue,2:00PM,New Lots
7/8/2026,49,Spring Creek,Spring Creek,3:00PM,New Lots
7/8/2026,26,Stone Avenue,Stone Avenue,3:00PM,New Lots
7/8/2026,15,Arlington,Arlington,4:00PM,New Lots
7/8/2026,22,Central,Central,5:00PM,Central
7/8/2026,312,Central,Central,5:00PM,Central
7/8/2026,16,Central,Central,6:00PM,Central
7/8/2026,338,Central,Central,6:00PM,Central
7/8/2026,17,Central,Central,7:00PM,Central
7/8/2026,247,Central,Central,7:00PM,Central
7/8/2026,13,Central,Central,8:00PM,Central
7/8/2026,191,Central,Central,8:00PM,Central
7/8/2026,68,Cortelyou,Cortelyou,1:00PM,Flatbush
7/8/2026,39,East Flatbush,East Flatbush,1:00PM,Flatbush
7/8/2026,83,Flatbush,Flatbush,1:00PM,Flatbush
7/8/2026,41,Flatlands,Flatlands,1:00PM,Flatbush
7/8/2026,29,Rugby,Rugby,1:00PM,Flatbush
7/8/2026,6,Clarendon,Clarendon,10:00AM,Flatbush
7/8/2026,3,Cortelyou,Cortelyou,10:00AM,Flatbush
7/8/2026,11,East Flatbush,East Flatbush,10:00AM,Flatbush
7/8/2026,1,Flatbush,Flatbush,10:00AM,Flatbush
7/8/2026,12,Flatlands,Flatlands,10:00AM,Flatbush
7/8/2026,11,Paerdegat,Paerdegat,10:00AM,Flatbush
7/8/2026,2,Rugby,Rugby,10:00AM,Flatbush
7/8/2026,0,Flatbush,Flatbush,10:00PM,Flatbush
7/8/2026,0,Flatlands,Flatlands,10:00PM,Flatbush
7/8/2026,0,Rugby,Rugby,10:00PM,Flatbush
7/8/2026,76,Adams Street,Adams Street,12:00PM,Park Slope
7/8/2026,19,Library for Arts & Culture,Library for Arts & Culture,12:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,12:00PM,Park Slope
7/8/2026,30,Adams Street,Adams Street,2:00PM,Park Slope
7/8/2026,36,Library for Arts & Culture,Library for Arts & Culture,2:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,2:00PM,Park Slope
7/8/2026,30,Adams Street,Adams Street,3:00PM,Park Slope
7/8/2026,166,Brooklyn Heights,Brooklyn Heights,3:00PM,Park Slope
7/8/2026,19,Library for Arts & Culture,Library for Arts & Culture,3:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,3:00PM,Park Slope
7/8/2026,32,Adams Street,Adams Street,4:00PM,Park Slope
7/8/2026,179,Brooklyn Heights,Brooklyn Heights,4:00PM,Park Slope
7/8/2026,67,Clinton Hill,Clinton Hill,4:00PM,Park Slope
7/8/2026,26,Library for Arts & Culture,Library for Arts & Culture,4:00PM,Park Slope
7/8/2026,34,Pacific,Pacific,4:00PM,Park Slope
7/8/2026,97,Park Slope,Park Slope,4:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,4:00PM,Park Slope
7/8/2026,38,Adams Street,Adams Street,5:00PM,Park Slope
7/8/2026,163,Brooklyn Heights,Brooklyn Heights,5:00PM,Park Slope
7/8/2026,61,Clinton Hill,Clinton Hill,5:00PM,Park Slope
7/8/2026,12,Library for Arts & Culture,Library for Arts & Culture,5:00PM,Park Slope
7/8/2026,41,Pacific,Pacific,5:00PM,Park Slope
7/8/2026,94,Park Slope,Park Slope,5:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,5:00PM,Park Slope
7/8/2026,64,Adams Street,Adams Street,6:00PM,Park Slope
7/8/2026,129,Brooklyn Heights,Brooklyn Heights,6:00PM,Park Slope
7/8/2026,55,Clinton Hill,Clinton Hill,6:00PM,Park Slope
7/8/2026,5,Library for Arts & Culture,Library for Arts & Culture,6:00PM,Park Slope
7/8/2026,47,Pacific,Pacific,6:00PM,Park Slope
7/8/2026,64,Park Slope,Park Slope,6:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,6:00PM,Park Slope
7/8/2026,3,Adams Street,Adams Street,7:00PM,Park Slope
7/8/2026,5,Brooklyn Heights,Brooklyn Heights,7:00PM,Park Slope
7/8/2026,0,Clinton Hill,Clinton Hill,7:00PM,Park Slope
